customer_id,total_transactions,total_volume,avg_amount,max_amount,flagged_transactions,avg_fraud_risk,cross_border_ratio,unique_devices,unique_counterparties,flag_rate,customer_fraud_score,customer_risk_level,customer_type,home_country,account_tenure_months,expected_monthly_volume,baseline_risk
CUST20000,24,47521.92,1980.08,7631.17,0,25.666666666666668,1.0,24,24,0.0,32,Moderate,Individual,Mexico,37,27306.42,Low
CUST20001,36,98066.16,2724.06,20787.68,2,28.36111111111111,0.9166666666666666,36,36,0.05555555555555555,33,Moderate,Individual,Nigeria,70,12695.01,Low
CUST20002,38,71111.47,1871.3544736842105,6198.09,0,27.07894736842105,0.9210526315789473,38,38,0.0,31,Moderate,Individual,India,107,17730.74,Low
CUST20003,38,100458.79,2643.6523684210524,11368.31,2,23.92105263157895,0.5263157894736842,38,37,0.05263157894736842,23,Low,Individual,United States,52,20964.87,Low
CUST20004,35,79797.23,2279.920857142857,8097.94,0,27.0,0.9142857142857143,35,35,0.0,30,Moderate,Individual,United Arab Emirates,74,12399.16,Low
CUST20005,39,94723.73,2428.8135897435895,15371.46,5,36.69230769230769,0.9743589743589743,39,38,0.1282051282051282,40,Moderate,Individual,United Kingdom,67,5695.71,Low
CUST20006,29,71708.86,2472.7193103448276,6923.4,0,24.862068965517242,0.9310344827586207,29,29,0.0,30,Moderate,Individual,India,29,46873.9,Low
CUST20007,33,78724.69,2385.596666666667,12817.48,2,30.303030303030305,0.42424242424242425,33,33,0.06060606060606061,24,Low,Individual,United States,5,6375.67,High
CUST20008,33,81282.15,2463.0954545454542,19964.85,3,33.03030303030303,0.9090909090909091,33,33,0.09090909090909091,36,Moderate,Individual,United Arab Emirates,89,5613.42,Low
CUST20009,50,142483.59,2849.6718,11518.94,3,30.52,0.9,49,50,0.06,34,Moderate,Individual,Mexico,70,10961.38,High
CUST20010,36,86970.82,2415.856111111111,18378.75,0,27.77777777777778,0.5277777777777778,36,36,0.0,23,Low,Individual,United States,112,8306.26,Moderate
CUST20011,44,80331.11,1825.7070454545456,11802.49,1,26.295454545454547,0.9545454545454546,44,44,0.022727272727272728,32,Moderate,Individual,United Arab Emirates,21,24329.81,Low
CUST20012,31,121300.68,3912.925161290322,29005.96,1,26.903225806451612,0.9354838709677419,31,30,0.03225806451612903,32,Moderate,Individual,Mexico,54,42674.17,Moderate
CUST20013,50,118619.63,2372.3926,7765.5,0,24.18,0.98,50,50,0.0,30,Moderate,Business,Canada,109,52617.48,High
CUST20014,29,79658.13,2746.8320689655175,12740.59,3,36.58620689655172,0.8620689655172413,29,29,0.10344827586206896,37,Moderate,Individual,India,42,7494.41,Moderate
CUST20015,42,182850.05,4353.572619047619,106726.22,3,29.80952380952381,0.9761904761904762,42,42,0.07142857142857142,35,Moderate,Individual,United Kingdom,36,26627.13,Low
CUST20016,29,46862.740000000005,1615.956551724138,4207.01,0,23.689655172413794,0.4482758620689655,29,29,0.0,20,Low,Individual,United States,75,8982.08,Moderate
CUST20017,36,85258.71,2368.2975,11608.22,1,29.083333333333332,1.0,36,36,0.027777777777777776,34,Moderate,Business,Brazil,53,12153.87,Low
CUST20018,26,62070.130000000005,2387.3126923076925,12399.37,4,33.42307692307692,0.9615384615384616,26,26,0.15384615384615385,40,Moderate,Business,Canada,41,7172.41,Moderate
CUST20019,32,100030.74,3125.960625,23131.35,4,34.125,0.96875,32,32,0.125,39,Moderate,Individual,Mexico,88,8200.38,Low
CUST20020,34,73462.84,2160.671764705882,10984.95,4,31.823529411764707,0.9117647058823529,34,34,0.11764705882352941,37,Moderate,Business,United Kingdom,1,19384.68,Low
CUST20021,43,126056.31999999999,2931.5423255813953,13414.21,5,33.97674418604651,0.9302325581395349,43,42,0.11627906976744186,38,Moderate,Individual,United Arab Emirates,111,6429.94,Low
CUST20022,45,98595.91,2191.0202222222224,9938.18,1,31.355555555555554,0.9111111111111111,44,45,0.022222222222222223,33,Moderate,Individual,United Kingdom,114,6596.39,Moderate
CUST20023,28,81642.41,2915.800357142857,8923.46,4,36.392857142857146,0.42857142857142855,28,28,0.14285714285714285,30,Moderate,Individual,United States,41,6553.16,Low
CUST20024,31,111785.56,3605.985806451613,24552.85,1,30.06451612903226,0.967741935483871,31,31,0.03225806451612903,34,Moderate,Individual,United Arab Emirates,53,47773.8,Moderate
CUST20025,29,54005.13,1862.2458620689654,7203.2,1,25.724137931034484,0.3793103448275862,28,29,0.034482758620689655,20,Low,Individual,United States,46,10894.62,High
CUST20026,33,83774.2,2538.612121212121,10764.85,1,21.757575757575758,0.3333333333333333,33,33,0.030303030303030304,18,Low,Individual,United States,97,46329.28,Low
CUST20027,35,81006.06,2314.458857142857,11205.83,0,24.97142857142857,0.45714285714285713,35,35,0.0,20,Low,Individual,United States,108,7526.61,Low
CUST20028,35,83502.6,2385.7885714285717,13798.07,0,26.8,0.9714285714285714,35,35,0.0,31,Moderate,Business,Canada,42,25176.73,Low
CUST20029,46,127647.76,2774.951304347826,23837.84,5,33.78260869565217,0.43478260869565216,46,46,0.10869565217391304,28,Low,Business,United States,21,5128.41,Low
CUST20030,43,107039.17,2489.283023255814,13190.61,1,27.13953488372093,0.9302325581395349,42,42,0.023255813953488372,32,Moderate,Business,India,116,16087.96,Moderate
CUST20031,31,78860.6,2543.8903225806453,5999.89,1,37.0,0.9032258064516129,30,31,0.03225806451612903,36,Moderate,Individual,Mexico,68,4523.03,Low
CUST20032,42,131950.24,3141.6723809523805,12713.27,8,38.38095238095238,0.40476190476190477,42,42,0.19047619047619047,32,Moderate,Individual,United States,94,3733.84,Moderate
